,date,hour,sentiment,rank_score,sentimenttitle,sentimenttext,datetime
88,2020-10-12,9,1.0,2.02,0.5,0.0,2020-10-12 9:00:00
89,2020-10-12,11,1.0,2.02,0.0,1.0,2020-10-12 11:00:00
90,2020-10-12,12,0.0,2.02,0.0,1.0,2020-10-12 12:00:00
91,2020-10-12,13,1.0,2.02,0.0,0.0,2020-10-12 13:00:00
92,2020-10-12,17,2.0,2.885,1.0,2.0,2020-10-12 17:00:00
93,2020-10-12,18,1.0,2.27,0.0,0.5,2020-10-12 18:00:00
94,2020-11-11,19,2.0,3.25,2.0,2.0,2020-11-11 19:00:00
95,2020-11-11,22,0.5,2.02,0.0,0.5,2020-11-11 22:00:00
96,2020-11-11,23,1.0,4.44,0.0,0.0,2020-11-11 23:00:00
97,2020-11-12,0,1.25,2.92,0.5,0.0,2020-11-12 0:00:00
98,2020-11-12,1,1.0,2.02,0.0,1.0,2020-11-12 1:00:00
99,2020-11-12,2,1.0,1.9,0.0,0.0,2020-11-12 2:00:00
100,2020-11-12,3,1.0,2.665,0.25,1.0,2020-11-12 3:00:00
101,2020-11-12,4,0.3333333333333333,2.9466666666666668,0.6666666666666666,1.0,2020-11-12 4:00:00
102,2020-11-12,5,1.25,2.8899999999999997,0.0,0.5,2020-11-12 5:00:00
103,2020-11-12,6,0.5,2.635,0.0,1.0,2020-11-12 6:00:00
104,2020-11-12,7,0.7142857142857143,3.187142857142857,0.2857142857142857,0.42857142857142855,2020-11-12 7:00:00
105,2020-11-12,8,1.0,3.61,0.0,0.0,2020-11-12 8:00:00
106,2020-11-12,9,0.0,2.79,0.5,0.0,2020-11-12 9:00:00
107,2020-11-12,10,0.5,3.715,0.5,1.0,2020-11-12 10:00:00
108,2020-11-12,11,2.0,3.68,2.0,2.0,2020-11-12 11:00:00
109,2020-11-12,12,2.0,2.92,0.0,0.0,2020-11-12 12:00:00
110,2020-12-11,22,0.0,2.02,0.0,0.0,2020-12-11 22:00:00
111,2020-12-12,1,2.0,2.02,0.0,0.0,2020-12-12 1:00:00
112,2020-12-12,2,0.6666666666666666,2.02,0.0,0.3333333333333333,2020-12-12 2:00:00
113,2020-12-12,6,0.0,2.02,0.0,0.0,2020-12-12 6:00:00
114,2020-12-12,7,0.0,2.02,0.0,0.0,2020-12-12 7:00:00
115,2020-12-12,8,0.5,2.75,0.0,0.0,2020-12-12 8:00:00
116,2020-12-12,9,0.0,2.02,0.0,0.0,2020-12-12 9:00:00
117,2020-12-12,11,0.0,3.82,0.0,0.0,2020-12-12 11:00:00
118,2020-12-12,14,1.0,2.02,0.0,0.0,2020-12-12 14:00:00
119,2020-12-13,1,1.0,2.02,1.0,0.0,2020-12-13 1:00:00
120,2020-12-13,4,0.0,2.02,0.0,0.0,2020-12-13 4:00:00
121,2020-12-13,5,0.5,2.02,0.0,0.0,2020-12-13 5:00:00
122,2020-12-13,7,0.3333333333333333,2.9166666666666665,0.3333333333333333,0.3333333333333333,2020-12-13 7:00:00
123,2020-12-13,8,0.6666666666666666,2.02,0.0,0.6666666666666666,2020-12-13 8:00:00
124,2020-12-13,9,1.5,2.02,0.0,1.5,2020-12-13 9:00:00
125,2020-12-13,12,1.0,2.64,0.0,0.0,2020-12-13 12:00:00
126,2020-12-13,22,1.0,3.82,0.0,0.0,2020-12-13 22:00:00
127,2020-12-13,23,0.25,3.5124999999999997,0.25,0.5,2020-12-13 23:00:00
128,2020-12-14,0,0.0,3.455,0.0,0.0,2020-12-14 0:00:00
129,2020-12-14,1,0.25,2.84,0.0,0.75,2020-12-14 1:00:00
130,2020-12-14,2,0.0,2.02,0.0,0.0,2020-12-14 2:00:00
131,2020-12-14,3,1.0,2.8674999999999997,0.25,0.0,2020-12-14 3:00:00
132,2020-12-14,4,1.4,2.9859999999999998,0.8,0.8,2020-12-14 4:00:00
133,2020-12-14,5,1.0,3.3,0.2,0.2,2020-12-14 5:00:00
134,2020-12-14,6,0.3333333333333333,2.3766666666666665,0.3333333333333333,0.0,2020-12-14 6:00:00
135,2020-12-14,7,0.0,2.6199999999999997,0.0,0.3333333333333333,2020-12-14 7:00:00
136,2020-12-14,8,1.0,3.82,0.0,0.0,2020-12-14 8:00:00
137,2020-12-14,9,1.3333333333333333,2.183333333333333,0.0,0.6666666666666666,2020-12-14 9:00:00
138,2020-12-14,10,0.0,3.0,0.0,0.0,2020-12-14 10:00:00
139,2020-12-14,11,1.0,2.02,0.0,1.0,2020-12-14 11:00:00
140,2020-12-14,12,1.0,3.04,0.5,0.5,2020-12-14 12:00:00
141,2020-12-14,13,2.0,3.61,0.0,1.0,2020-12-14 13:00:00
142,2020-12-14,16,1.0,2.02,0.0,0.0,2020-12-14 16:00:00
143,2020-12-14,19,0.0,3.25,2.0,2.0,2020-12-14 19:00:00
144,2020-12-14,20,1.0,2.245,0.5,0.5,2020-12-14 20:00:00
145,2020-12-14,22,0.875,3.3175,0.0,0.25,2020-12-14 22:00:00
146,2020-12-14,23,1.0,3.41,0.5,0.5,2020-12-14 23:00:00
