high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,realbody,trend1,trend2,MorningStar,MorningStar_good,MorningStar_bad,EveningStar,EveningStar_good,EveningStar_bad
198.01,194.8,196.63,64203.63,12593457.27,195.4,direct,,-1.2299999999999898,-1.0,-1.0,0.0,0,0,0.0,0,0
198.68,194.66,195.4,94969.37,18736690.1,198.14,direct,,2.7399999999999807,1.0,1.0,0.0,0,0,0.0,0,0
198.7,195.8,198.14,98253.06,19401786.56,196.28,direct,,-1.8599999999999852,1.0,1.0,0.0,0,0,0.0,0,0
198.34,196.28,196.28,63355.57,12516660.25,197.67,direct,,1.3899999999999864,1.0,1.0,0.0,0,0,0.0,0,0
199.3,197.02,197.67,79475.52,15768147.42,198.01,direct,,0.3400000000000034,1.0,1.0,0.0,0,0,0.0,0,0
199.47,196.57,198.01,66412.69,13155365.26,196.69,direct,,-1.3199999999999932,1.0,1.0,0.0,0,0,0.0,0,0
198.11,196.43,196.69,57901.08,11420867.19,196.53,direct,,-0.1599999999999966,1.0,1.0,0.0,0,0,0.0,0,0
198.79,196.03,196.53,86185.97,17054291.37,197.5,direct,,0.9699999999999989,-1.0,1.0,0.0,0,0,0.0,0,0
199.11,197.24,197.5,68431.87,13560048.89,199.09,direct,,1.5900000000000034,1.0,1.0,0.0,0,0,0.0,0,0
199.22,196.06,199.09,64243.62,12658532.69,196.75,direct,,-2.3400000000000034,1.0,1.0,0.0,0,0,0.0,0,0
197.11,196.24,196.75,53833.7,10584152.9,196.43,direct,,-0.3199999999999932,-1.0,-1.0,0.0,0,0,0.0,0,0
197.79,192.69,196.43,93984.59,18323906.33,193.22,direct,,-3.210000000000008,-1.0,-1.0,0.0,0,0,0.0,0,0
195.11,190.69,193.22,134189.38,25814139.24,194.17,direct,,0.9499999999999886,-1.0,-1.0,0.0,0,0,0.0,0,0
195.39,193.2,194.17,47178.89,9174548.31,194.61,direct,,0.44000000000002615,-1.0,-1.0,0.0,0,0,2.0,0,1
194.83,191.4,194.61,79418.92,15314841.63,193.0,direct,,-1.6100000000000136,-1.0,-1.0,0.0,0,0,0.0,0,0
193.19,188.82,193.0,147110.71,28083050.85,191.45,direct,,-1.5500000000000114,-1.0,-1.0,0.0,0,0,0.0,0,0
192.09,186.07,191.45,174637.79,32933689.35,187.34,direct,,-4.109999999999985,-1.0,-1.0,0.0,0,0,0.0,0,0
188.96,185.04,187.34,174420.46,32576927.54,186.95,direct,,-0.3900000000000148,-1.0,-1.0,0.0,0,0,1.0,1,0
187.93,185.25,186.95,120955.4,22556110.11,187.2,direct,,0.25,-1.0,-1.0,0.0,0,0,0.0,0,0
188.89,186.16,187.2,98240.28,18418277.2,186.7,direct,,-0.5,-1.0,-1.0,0.0,0,0,0.0,0,0
189.68,186.1,186.7,68686.68,12943145.7,189.63,direct,,2.930000000000007,-1.0,-1.0,0.0,0,0,0.0,0,0
190.18,188.0,189.63,62787.66,11878815.41,189.71,direct,,0.0800000000000125,-1.0,-1.0,2.0,0,1,0.0,0,0
189.93,188.93,189.71,41452.82,7852163.93,189.89,direct,,0.1799999999999784,1.0,1.0,0.0,0,0,0.0,0,0
190.29,188.59,189.89,50249.95,9527772.18,189.47,direct,,-0.4199999999999875,1.0,1.0,0.0,0,0,0.0,0,0
189.91,187.51,189.47,52374.56,9877156.47,189.81,direct,,0.3400000000000034,1.0,1.0,0.0,0,0,0.0,0,0
191.46,188.71,189.81,45887.69,8717300.85,190.7,direct,,0.8899999999999864,1.0,1.0,0.0,0,0,0.0,0,0
191.55,189.46,190.7,56576.53,10766766.43,190.19,direct,,-0.5099999999999909,1.0,1.0,0.0,0,0,0.0,0,0
191.49,189.92,190.19,58838.93,11218992.76,190.69,direct,,0.5,1.0,1.0,0.0,0,0,0.0,0,0
191.06,189.27,190.69,44260.19,8410118.26,189.99,direct,,-0.6999999999999886,1.0,1.0,0.0,0,0,0.0,0,0
190.92,188.13,189.99,65371.31,12393044.41,189.98,direct,,-0.010000000000019327,1.0,1.0,2.0,0,1,0.0,0,0
190.43,188.42,189.98,50169.77,9499487.44,189.25,direct,,-0.7299999999999898,-1.0,-1.0,0.0,0,0,0.0,0,0
189.8,185.81,189.25,89523.86,16781809.47,187.52,direct,,-1.7299999999999898,-1.0,-1.0,0.0,0,0,0.0,0,0
188.13,184.66,187.52,112030.55,20859608.16,186.1,direct,,-1.420000000000016,-1.0,-1.0,0.0,0,0,0.0,0,0
186.73,181.17,186.1,181096.26,33381420.05,185.77,direct,,-0.3299999999999841,-1.0,-1.0,0.0,0,0,0.0,0,0
189.87,185.31,185.77,160063.9,30057718.36,188.64,direct,,2.869999999999976,-1.0,-1.0,0.0,0,0,0.0,0,0
192.89,188.64,188.64,110261.49,21040599.25,192.6,direct,,3.960000000000008,1.0,-1.0,0.0,0,0,0.0,0,0
198.88,192.56,192.6,221272.95,43446748.1,198.5,direct,,5.900000000000006,1.0,1.0,0.0,0,0,0.0,0,0
202.3,195.9,198.5,219167.99,43576417.64,195.98,direct,,-2.5200000000000102,1.0,1.0,0.0,0,0,0.0,0,0
201.98,195.96,195.98,165253.9,33059437.62,200.92,direct,,4.939999999999998,1.0,1.0,0.0,0,0,0.0,0,0
203.08,199.87,200.92,142629.35,28783712.39,201.91,direct,,0.9900000000000091,1.0,1.0,0.0,0,0,0.0,0,0
203.97,201.34,201.91,108903.01,22054355.98,202.07,direct,,0.1599999999999966,1.0,1.0,0.0,0,0,0.0,0,0
202.45,200.89,202.07,102914.63,20746447.55,200.96,direct,,-1.1099999999999852,1.0,1.0,0.0,0,0,0.0,0,0
201.69,200.6,200.96,103917.22,20887293.23,201.11,direct,,0.15000000000000568,1.0,1.0,0.0,0,0,0.0,0,0
203.37,200.96,201.11,100153.06,20244481.85,201.81,direct,,0.6999999999999886,1.0,1.0,1.0,1,0,0.0,0,0
204.0,201.29,201.81,92285.02,18701064.8,203.74,direct,,1.9300000000000068,1.0,1.0,0.0,0,0,0.0,0,0
